,address,Street,city,State,Zip Code
77,"103 North Caroline St,Herkimer NY 13350",103 North Caroline St,Herkimer,NY,13350
78,"1000 State Route 36,Hornell NY 14843",1000 State Route 36,Hornell,NY,14843
79,"1400 County Rd 64,Horseheads NY 14845",1400 County Rd 64,Horseheads,NY,14845
80,"135 Fairgrounds Memorial Pkwy,Ithaca NY 14850",135 Fairgrounds Memorial Pkwy,Ithaca,NY,14850
81,"2 Gannett Dr,Johnson City NY 13790",2 Gannett Dr,Johnson,City,NY
82,"233 5th Ave Ext,Johnstown NY 12095",233 5th Ave Ext,Johnstown,NY,12095
83,"601 Frank Stottile Blvd,Kingston NY 12401",601 Frank Stottile Blvd,Kingston,NY,12401
84,"350 E Fairmount Ave,Lakewood NY 14750",350 E Fairmount Ave,Lakewood,NY,14750
85,"4975 Transit Rd,Lancaster NY 14086",4975 Transit Rd,Lancaster,NY,14086
86,"579 Troy-Schenectady Road,Latham NY 12110",579 Troy-Schenectady Road,Latham,NY,12110
87,"5783 So Transit Road,Lockport NY 14094",5783 So Transit Road,Lockport,NY,14094
88,"7155 State Rt 12 S,Lowville NY 13367",7155 State Rt 12 S,Lowville,NY,13367
89,"425 Route 31,Macedon NY 14502",425 Route 31,Macedon,NY,14502
90,"3222 State Rt 11,Malone NY 12953",3222 State Rt 11,Malone,NY,12953
91,"200 Sunrise Mall,Massapequa NY 11758",200 Sunrise Mall,Massapequa,NY,11758
92,"43 Stephenville St,Massena NY 13662",43 Stephenville St,Massena,NY,13662
93,"750 Middle Country Road,Middle Island NY 11953",750 Middle Country Road,Middle,Island,NY
94,"470 Route 211 East,Middletown NY 10940",470 Route 211 East,Middletown,NY,10940
95,"3133 E Main St,Mohegan Lake NY 10547",3133 E Main St,Mohegan,Lake,NY
96,"288 Larkin,Monroe NY 10950",288 Larkin,Monroe,NY,10950
97,"41 Anawana Lake Road,Monticello NY 12701",41 Anawana Lake Road,Monticello,NY,12701
98,"4765 Commercial Drive,New Hartford NY 13413",4765 Commercial Drive,New,Hartford,NY
99,"1201 Rt 300,Newburgh NY 12550",1201 Rt 300,Newburgh,NY,12550
100,"255 W Main St,Avon CT 6001",255 W Main St,Avon,CT,6001
101,"120 Commercial Parkway,Branford CT 6405",120 Commercial Parkway,Branford,CT,6405
102,"1400 Farmington Ave,Bristol CT 6010",1400 Farmington Ave,Bristol,CT,6010
103,"161 Berlin Road,Cromwell CT 6416",161 Berlin Road,Cromwell,CT,6416
104,"67 Newton Rd,Danbury CT 6810",67 Newton Rd,Danbury,CT,6810
105,"656 New Haven Ave,Derby CT 6418",656 New Haven Ave,Derby,CT,6418
106,"69 Prospect Hill Road,East Windsor CT 6088",69 Prospect Hill Road,East,Windsor,CT
107,"150 Gold Star Hwy,Groton CT 6340",150 Gold Star Hwy,Groton,CT,6340
108,"900 Boston Post Road,Guilford CT 6437",900 Boston Post Road,Guilford,CT,6437
109,"2300 Dixwell Ave,Hamden CT 6514",2300 Dixwell Ave,Hamden,CT,6514
110,"495 Flatbush Ave,Hartford CT 6106",495 Flatbush Ave,Hartford,CT,6106
111,"180 River Rd,Lisbon CT 6351",180 River Rd,Lisbon,CT,6351
112,"420 Buckland Hills Dr,Manchester CT 6040",420 Buckland Hills Dr,Manchester,CT,6040
113,"1365 Boston Post Road,Milford CT 6460",1365 Boston Post Road,Milford,CT,6460
114,"1100 New Haven Road,Naugatuck CT 6770",1100 New Haven Road,Naugatuck,CT,6770
115,"315 Foxon Blvd,New Haven CT 6513",315 Foxon Blvd,New,Haven,CT
116,"164 Danbury Rd,New Milford CT 6776",164 Danbury Rd,New,Milford,CT
117,"3164 Berlin Turnpike,Newington CT 6111",3164 Berlin Turnpike,Newington,CT,6111
118,"474 Boston Post Road,North Windham CT 6256",474 Boston Post Road,North,Windham,CT
119,"650 Main Ave,Norwalk CT 6851",650 Main Ave,Norwalk,CT,6851
120,"680 Connecticut Avenue,Norwalk CT 6854",680 Connecticut Avenue,Norwalk,CT,6854
121,"220 Salem Turnpike,Norwich CT 6360",220 Salem Turnpike,Norwich,CT,6360
122,"655 Boston Post Rd,Old Saybrook CT 6475",655 Boston Post Rd,Old,Saybrook,CT
123,"625 School Street,Putnam CT 6260",625 School Street,Putnam,CT,6260
124,"80 Town Line Rd,Rocky Hill CT 6067",80 Town Line Rd,Rocky,Hill,CT
125,"465 Bridgeport Avenue,Shelton CT 6484",465 Bridgeport Avenue,Shelton,CT,6484
126,"235 Queen St,Southington CT 6489",235 Queen St,Southington,CT,6489
127,"150 Barnum Avenue Cutoff,Stratford CT 6614",150 Barnum Avenue Cutoff,Stratford,CT,6614
128,"970 Torringford Street,Torrington CT 6790",970 Torringford Street,Torrington,CT,6790
129,"844 No Colony Road,Wallingford CT 6492",844 No Colony Road,Wallingford,CT,6492
130,"910 Wolcott St,Waterbury CT 6705",910 Wolcott St,Waterbury,CT,6705
131,"155 Waterford Parkway No,Waterford CT 6385",155 Waterford Parkway No,Waterford,CT,6385
132,"515 Sawmill Road,West Haven CT 6516",515 Sawmill Road,West,Haven,CT
133,"2473 Hackworth Road,Adamsville AL 35005",2473 Hackworth Road,Adamsville,AL,35005
134,"630 Coonial Promenade Pkwy,Alabaster AL 35007",630 Coonial Promenade Pkwy,Alabaster,AL,35007
135,"2643 Hwy 280 West,Alexander City AL 35010",2643 Hwy 280 West,Alexander,City,AL
136,"540 West Bypass,Andalusia AL 36420",540 West Bypass,Andalusia,AL,36420
137,"5560 Mcclellan Blvd,Anniston AL 36206",5560 Mcclellan Blvd,Anniston,AL,36206
138,"1450 No Brindlee Mtn Pkwy,Arab AL 35016",1450 No Brindlee Mtn Pkwy,Arab,AL,35016
139,"1011 US Hwy 72 East,Athens AL 35611",1011 US Hwy 72 East,Athens,AL,35611
140,"973 Gilbert Ferry Road Se,Attalla AL 35954",973 Gilbert Ferry Road Se,Attalla,AL,35954
141,"1717 South College Street,Auburn AL 36830",1717 South College Street,Auburn,AL,36830
142,"701 Mcmeans Ave,Bay Minette AL 36507",701 Mcmeans Ave,Bay,Minette,AL
143,"750 Academy Drive,Bessemer AL 35022",750 Academy Drive,Bessemer,AL,35022
144,"312 Palisades Blvd,Birmingham AL 35209",312 Palisades Blvd,Birmingham,AL,35209
145,"1600 Montclair Rd,Birmingham AL 35210",1600 Montclair Rd,Birmingham,AL,35210
146,"5919 Trussville Crossings Pkwy,Birmingham AL 35235",5919 Trussville Crossings Pkwy,Birmingham,AL,35235
147,"9248 Parkway East,Birmingham AL 35206",9248 Parkway East,Birmingham,AL,35206
148,"1972 Hwy 431,Boaz AL 35957",1972 Hwy 431,Boaz,AL,35957
149,"10675 Hwy 5,Brent AL 35034",10675 Hwy 5,Brent,AL,35034
150,"2041 Douglas Avenue,Brewton AL 36426",2041 Douglas Avenue,Brewton,AL,36426
151,"5100 Hwy 31,Calera AL 35040",5100 Hwy 31,Calera,AL,35040
152,"1916 Center Point Rd,Center Point AL 35215",1916 Center Point Rd,Center,Point,AL
153,"1950 W Main St,Centre AL 35960",1950 W Main St,Centre,AL,35960
154,"16077 Highway 280,Chelsea AL 35043",16077 Highway 280,Chelsea,AL,35043
155,"1415 7Th Street South,Clanton AL 35045",1415 7Th Street South,Clanton,AL,35045
156,"626 Olive Street Sw,Cullman AL 35055",626 Olive Street Sw,Cullman,AL,35055
157,"27520 Hwy 98,Daphne AL 36526",27520 Hwy 98,Daphne,AL,36526
158,"2800 Spring Avn SW,Decatur AL 35603",2800 Spring Avn SW,Decatur,AL,35603
159,"969 Us Hwy 80 West,Demopolis AL 36732",969 Us Hwy 80 West,Demopolis,AL,36732
160,"3300 South Oates Street,Dothan AL 36301",3300 South Oates Street,Dothan,AL,36301
161,"4310 Montgomery Hwy,Dothan AL 36303",4310 Montgomery Hwy,Dothan,AL,36303
162,"600 Boll Weevil Circle,Enterprise AL 36330",600 Boll Weevil Circle,Enterprise,AL,36330
163,"3176 South Eufaula Avenue,Eufaula AL 36027",3176 South Eufaula Avenue,Eufaula,AL,36027
164,"7100 Aaron Aronov Drive,Fairfield AL 35064",7100 Aaron Aronov Drive,Fairfield,AL,35064
165,"10040 County Road 48,Fairhope AL 36533",10040 County Road 48,Fairhope,AL,36533
166,"3186 Hwy 171 North,Fayette AL 35555",3186 Hwy 171 North,Fayette,AL,35555
167,"3100 Hough Rd,Florence AL 35630",3100 Hough Rd,Florence,AL,35630
168,"2200 South Mckenzie St,Foley AL 36535",2200 South Mckenzie St,Foley,AL,36535
169,"2001 Glenn Bldv Sw,Fort Payne AL 35968",2001 Glenn Bldv Sw,Fort,Payne,AL
170,"340 East Meighan Blvd,Gadsden AL 35903",340 East Meighan Blvd,Gadsden,AL,35903
171,"890 Odum Road,Gardendale AL 35071",890 Odum Road,Gardendale,AL,35071
172,"1608 W Magnolia Ave,Geneva AL 36340",1608 W Magnolia Ave,Geneva,AL,36340
173,"501 Willow Lane,Greenville AL 36037",501 Willow Lane,Greenville,AL,36037
174,"170 Fort Morgan Road,Gulf Shores AL 36542",170 Fort Morgan Road,Gulf,Shores,AL
175,"11697 US Hwy 431,Guntersville AL 35976",11697 US Hwy 431,Guntersville,AL,35976
176,"42417 Hwy 195,Haleyville AL 35565",42417 Hwy 195,Haleyville,AL,35565
177,"1706 Military Street South,Hamilton AL 35570",1706 Military Street South,Hamilton,AL,35570
178,"1201 Hwy 31 NW,Hartselle AL 35640",1201 Hwy 31 NW,Hartselle,AL,35640
179,"209 Lakeshore Parkway,Homewood AL 35209",209 Lakeshore Parkway,Homewood,AL,35209
180,"2780 John Hawkins Pkwy,Hoover AL 35244",2780 John Hawkins Pkwy,Hoover,AL,35244
181,"5335 Hwy 280 South,Hoover AL 35242",5335 Hwy 280 South,Hoover,AL,35242
182,"1007 Red Farmer Drive,Hueytown AL 35023",1007 Red Farmer Drive,Hueytown,AL,35023
183,"2900 S Mem PkwyDrake Ave,Huntsville AL 35801",2900 S Mem PkwyDrake Ave,Huntsville,AL,35801
184,"11610 Memorial Pkwy South,Huntsville AL 35803",11610 Memorial Pkwy South,Huntsville,AL,35803
185,"2200 Sparkman Drive,Huntsville AL 35810",2200 Sparkman Drive,Huntsville,AL,35810
186,"330 Sutton Rd,Huntsville AL 35763",330 Sutton Rd,Huntsville,AL,35763
187,"6140A Univ Drive,Huntsville AL 35806",6140A Univ Drive,Huntsville,AL,35806
188,"4206 N College Ave,Jackson AL 36545",4206 N College Ave,Jackson,AL,36545
189,"1625 Pelham South,Jacksonville AL 36265",1625 Pelham South,Jacksonville,AL,36265
190,"1801 Hwy 78 East,Jasper AL 35501",1801 Hwy 78 East,Jasper,AL,35501
191,"8551 Whitfield Ave,Leeds AL 35094",8551 Whitfield Ave,Leeds,AL,35094
192,"8650 Madison Blvd,Madison AL 35758",8650 Madison Blvd,Madison,AL,35758
193,"145 Kelley Blvd,Millbrook AL 36054",145 Kelley Blvd,Millbrook,AL,36054
194,"1970 S University Blvd,Mobile AL 36609",1970 S University Blvd,Mobile,AL,36609
195,"6350 Cottage Hill Road,Mobile AL 36609",6350 Cottage Hill Road,Mobile,AL,36609
196,"101 South Beltline Highway,Mobile AL 36606",101 South Beltline Highway,Mobile,AL,36606
197,"2500 Dawes Road,Mobile AL 36695",2500 Dawes Road,Mobile,AL,36695
198,"5245 Rangeline Service Rd,Mobile AL 36619",5245 Rangeline Service Rd,Mobile,AL,36619
199,"685 Schillinger Rd,Mobile AL 36695",685 Schillinger Rd,Mobile,AL,36695
200,"3371 S Alabama Ave,Monroeville AL 36460",3371 S Alabama Ave,Monroeville,AL,36460
201,"10710 Chantilly Pkwy,Montgomery AL 36117",10710 Chantilly Pkwy,Montgomery,AL,36117
202,"3801 Eastern Blvd,Montgomery AL 36116",3801 Eastern Blvd,Montgomery,AL,36116
203,"6495 Atlanta Hwy,Montgomery AL 36117",6495 Atlanta Hwy,Montgomery,AL,36117
204,"851 Ann St,Montgomery AL 36107",851 Ann St,Montgomery,AL,36107
205,"15445 Highway 24,Moulton AL 35650",15445 Highway 24,Moulton,AL,35650
206,"517 West Avalon Ave,Muscle Shoals AL 35661",517 West Avalon Ave,Muscle,Shoals,AL
207,"5710 Mcfarland Blvd,Northport AL 35476",5710 Mcfarland Blvd,Northport,AL,35476
208,"2453 2Nd Avenue East,Oneonta AL 35121",2453 2Nd Avenue East,Oneonta,AL,35121
209,"2900 Pepperrell Pkwy,Opelika AL 36801",2900 Pepperrell Pkwy,Opelika,AL,36801
210,"92 Plaza Lane,Oxford AL 36203",92 Plaza Lane,Oxford,AL,36203
211,"1537 Hwy 231 South,Ozark AL 36360",1537 Hwy 231 South,Ozark,AL,36360
212,"2181 Pelham Pkwy,Pelham AL 35124",2181 Pelham Pkwy,Pelham,AL,35124
213,"165 Vaughan Ln,Pell City AL 35125",165 Vaughan Ln,Pell,City,AL
214,"3700 Hwy 280-431 N,Phenix City AL 36867",3700 Hwy 280-431 N,Phenix,City,AL
215,"1903 Cobbs Ford Rd,Prattville AL 36066",1903 Cobbs Ford Rd,Prattville,AL,36066
216,"4180 Us Hwy 431,Roanoke AL 36274",4180 Us Hwy 431,Roanoke,AL,36274
217,"13675 Hwy 43,Russellville AL 35653",13675 Hwy 43,Russellville,AL,35653
218,"1095 Industrial Pkwy,Saraland AL 36571",1095 Industrial Pkwy,Saraland,AL,36571
219,"24833 Johnt Reidprkw,Scottsboro AL 35768",24833 Johnt Reidprkw,Scottsboro,AL,35768
220,"1501 Hwy 14 East,Selma AL 36703",1501 Hwy 14 East,Selma,AL,36703
221,"7855 Moffett Rd,Semmes AL 36575",7855 Moffett Rd,Semmes,AL,36575
222,"150 Springville Station Blvd,Springville AL 35146",150 Springville Station Blvd,Springville,AL,35146
223,"690 Hwy 78,Sumiton AL 35148",690 Hwy 78,Sumiton,AL,35148
224,"41301 US Hwy 280,Sylacauga AL 35150",41301 US Hwy 280,Sylacauga,AL,35150
225,"214 Haynes Street,Talladega AL 35160",214 Haynes Street,Talladega,AL,35160
226,"1300 Gilmer Ave,Tallassee AL 36078",1300 Gilmer Ave,Tallassee,AL,36078
227,"34301 Hwy 43,Thomasville AL 36784",34301 Hwy 43,Thomasville,AL,36784
228,"1420 Us 231 South,Troy AL 36081",1420 Us 231 South,Troy,AL,36081
229,"1501 Skyland Blvd E,Tuscaloosa AL 35405",1501 Skyland Blvd E,Tuscaloosa,AL,35405
230,"3501 20th Av,Valley AL 36854",3501 20th Av,Valley,AL,36854
231,"1300 Montgomery Highway,Vestavia Hills AL 35216",1300 Montgomery Highway,Vestavia,Hills,AL
232,"4538 Us Hwy 231,Wetumpka AL 36092",4538 Us Hwy 231,Wetumpka,AL,36092
233,"2575 Us Hwy 43,Winfield AL 35594",2575 Us Hwy 43,Winfield,AL,35594
